genus,species,genome,old_taxid,new_taxid,species_has_match,new_in_match,reclassified
Acinetobacter,baumannii,GCF_001433045.1,106654,470,True,False,True
Acinetobacter,pittii,GCF_000341835.1,1235833,48296,True,False,True
Acinetobacter,pittii,GCF_000746375.1,471,48296,True,False,True
Acinetobacter,pittii,GCF_000681535.1,1310642,48296,True,False,True
Aeromonas,dhakensis,GCF_000298055.1,1073377,196024,True,False,True
Aliivibrio,wodanis,GCF_001557995.1,80852,2315225,True,True,False
Aliivibrio,wodanis,GCF_001557865.1,80852,2315222,True,True,False
Aliivibrio,wodanis,GCF_001557935.1,80852,2315224,True,True,False
Aliivibrio,wodanis,GCF_001557835.1,80852,2315221,True,True,False
Aliivibrio,wodanis,GCF_001557785.1,80852,752519,True,True,False
Aliivibrio,wodanis,GCF_001557915.1,80852,2315223,True,True,False
Bacillus,amyloliquefaciens,GCF_000973485.1,1390,492670,True,True,False
Bacillus,amyloliquefaciens,GCF_000833005.1,1390,492670,True,True,False
Bacillus,amyloliquefaciens,GCF_000815275.1,1390,492670,True,True,False
Bacillus,cereus,GCF_000291015.1,1053168,155322,True,True,False
Bacillus,cereus,GCF_000293605.1,1053197,1405,True,True,False
Bacillus,cereus,GCF_000520915.1,1433293,1396,True,False,True
Bacillus,cereus,GCF_000291335.1,1053198,1405,True,True,False
Bacillus,cereus,GCF_000291315.1,1053199,1405,True,True,False
Bacillus,cereus,GCF_000293565.1,1053194,1890302,True,True,False
Bacillus,cereus,GCF_000291495.1,1053180,1890302,True,True,False
Bacillus,cereus,GCF_000291095.1,1053210,155322,True,True,False
Bacillus,cereus,GCF_000291375.1,1053191,1890302,True,True,False
Bacillus,cereus,GCF_000948245.1,1396,155322,True,True,False
Bacillus,cereus,GCF_000161335.1,526990,1405,True,True,False
Bacillus,cereus,GCF_000160975.1,526972,1405,True,True,False
Bacillus,cereus,GCF_000290895.1,1053227,1405,True,True,False
Bacillus,cereus,GCF_001044575.1,1396,1890302,True,True,False
Bacillus,endophyticus,GCF_000283255.1,1196029,1402861,True,True,False
Bacillus,endophyticus,GCF_000972245.3,135735,1402861,True,True,False
Bacillus,licheniformis,GCF_000559105.1,1348578,1925021,True,True,False
Bacillus,mojavensis,GCF_000404285.1,1329377,260554,True,True,False
Bacillus,mycoides,GCF_000161435.1,526999,64104,True,True,False
Bacillus,mycoides,GCF_000161415.1,526998,64104,True,True,False
Bacillus,mycoides,GCF_000746965.1,1405,64104,True,True,False
Bacillus,mycoides,GCF_000832885.1,412694,64104,True,False,True
Bacillus,mycoides,GCF_000742855.1,1405,64104,True,True,False
Bacillus,paralicheniformis,GCF_001188525.1,1402,1648923,True,False,True
Bacillus,pumilus,GCF_001043695.1,1408,561879,True,True,False
Bacillus,pumilus,GCF_001038765.1,1408,561879,True,True,False
Bacillus,pumilus,GCF_000828455.1,1408,293387,True,True,False
Bacillus,pumilus,GCF_001431785.1,1408,293387,True,True,False
Bacillus,pumilus,GCF_001038905.1,1408,561879,True,True,False
Bacillus,pumilus,GCF_000225935.1,1076692,293387,True,True,False
Bacillus,pumilus,GCF_001431145.1,1408,293387,True,True,False
Bacillus,pumilus,GCF_001191605.1,1408,293387,True,True,False
Bacillus,pumilus,GCF_001543165.1,1408,293387,True,True,False
Bacillus,pumilus,GCF_000299555.1,1227811,293387,True,True,False
Bacillus,pumilus,GCF_000972685.1,1408,293387,True,True,False
Bacillus,subtilis,GCF_001566945.1,1423,1963032,True,True,False
Bacillus,subtilis,GCF_000959025.1,1423,1963032,True,True,False
Bacillus,subtilis,GCF_000743215.1,1423,1963032,True,True,False
Bacillus,subtilis,GCF_001278955.1,227866,1423,True,False,True
Bacteroides,fragilis,GCF_001580105.1,246787,817,True,False,True
Bradyrhizobium,diazoefficiens,GCF_000473025.1,1038861,1355477,True,False,True
Bradyrhizobium,diazoefficiens,GCF_001280585.1,375,1355477,True,False,True
Burkholderia,lata,GCF_001038835.1,482957,292,True,True,False
Campylobacter,coli,GCF_001291705.1,197,195,True,False,True
Campylobacter,coli,GCF_001292465.1,197,195,True,False,True
Campylobacter,coli,GCF_001291625.1,197,195,True,False,True
Campylobacter,coli,GCF_001291565.1,197,195,True,False,True
Campylobacter,coli,GCF_001291945.1,197,195,True,False,True
Campylobacter,coli,GCF_001291645.1,197,195,True,False,True
Campylobacter,coli,GCF_001291685.1,197,195,True,False,True
Campylobacter,fetus,GCF_001486965.1,32019,198,True,True,False
Campylobacter,fetus,GCF_001486805.1,32019,198,True,True,False
Campylobacter,jejuni,GCF_001292485.1,195,197,True,False,True
Campylobacter,jejuni,GCF_001292265.1,195,197,True,False,True
Campylobacter,jejuni,GCF_001292205.1,195,197,True,False,True
Chlamydia,psittaci,GCF_000417735.2,1238235,1457141,True,True,False
Comamonas,testosteroni,GCF_000761395.1,285,363952,True,True,False
Comamonas,testosteroni,GCF_000761315.1,285,363952,True,True,False
Comamonas,testosteroni,GCF_000761265.1,285,363952,True,True,False
Comamonas,testosteroni,GCF_000813605.1,285,363952,True,True,False
Comamonas,testosteroni,GCF_000093145.3,688245,363952,True,True,False
Comamonas,testosteroni,GCF_000761235.1,285,363952,True,True,False
Comamonas,testosteroni,GCF_000761375.1,285,363952,True,True,False
Comamonas,testosteroni,GCF_000761355.1,285,363952,True,True,False
Comamonas,testosteroni,GCF_000761255.1,285,363952,True,True,False
Corynebacterium,jeikeium,GCF_001055915.1,38289,2715675,True,True,False
Corynebacterium,jeikeium,GCF_001076435.1,38289,2715676,True,True,False
Corynebacterium,jeikeium,GCF_001055995.1,38289,2715674,True,True,False
Cronobacter,malonaticus,GCF_000504545.1,1401659,413503,True,False,True
Enterobacter,asburiae,GCF_000812425.1,61645,1812935,True,True,False
Enterobacter,cloacae,GCF_900075265.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075505.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075725.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075195.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075295.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075985.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075105.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075135.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075005.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075755.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075245.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075795.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075055.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075615.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075975.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900076045.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075385.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075345.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075155.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075445.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075665.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075585.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_001276405.1,336306,158836,True,True,False
Enterobacter,cloacae,GCF_900075185.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075315.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_000492455.1,1329855,158836,True,True,False
Enterobacter,cloacae,GCF_900076055.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_001276425.1,336306,158836,True,True,False
Enterobacter,cloacae,GCF_900075305.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_000770745.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075655.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075535.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075765.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075575.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075745.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900076035.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_000534455.1,1329846,158836,True,True,False
Enterobacter,cloacae,GCF_001030145.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075825.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_001030195.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075085.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_001022435.2,299767,299766,True,False,True
Enterobacter,cloacae,GCF_900075905.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075365.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900076235.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_001316615.1,336306,158836,True,True,False
Enterobacter,cloacae,GCF_900075475.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_000692315.1,1439329,158836,True,True,False
Enterobacter,cloacae,GCF_900075635.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900074995.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075205.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075045.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075125.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075835.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_000747015.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_000534295.1,1400146,158836,True,True,False
Enterobacter,cloacae,GCF_900074965.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_000534215.1,1400149,158836,True,True,False
Enterobacter,cloacae,GCF_900075395.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075405.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_000958805.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075675.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900074985.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075275.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075115.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075235.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075355.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075775.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900076225.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_001469415.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075035.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075875.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075695.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075325.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900076005.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075845.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075605.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075255.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075465.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_000952315.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075215.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075375.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075735.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075865.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075455.1,550,158836,True,True,False
Enterobacter,cloacae,GCF_900075415.1,550,158836,True,True,False
Enterobacter,hormaechei,GCF_001525445.1,158836,1812934,True,True,False
Enterobacter,hormaechei,GCF_000957645.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_001518545.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_001010875.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_000952215.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_000802705.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000958365.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_001471215.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_001518145.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_001631265.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000956665.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_001525305.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000952405.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_001025055.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_001022735.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000952755.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_001472175.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000958725.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_001011895.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000784095.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000958695.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_000956675.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_001525155.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_001472605.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000952675.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_000949365.1,1328422,158836,True,False,True
Enterobacter,hormaechei,GCF_000952555.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_001518275.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000957835.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000952455.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_000957335.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000784195.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000958245.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000956825.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000802845.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000958765.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_000957625.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000802695.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000956855.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000952355.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_000965805.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000784055.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_001472675.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_000958845.1,550,158836,True,False,True
Enterobacter,hormaechei,GCF_000956885.1,301102,1296536,True,True,False
Enterobacter,hormaechei,GCF_001525125.1,301102,1296536,True,True,False
